@@,name,position
->,Semjén Zsolt->Dr. Semjén Zsolt,"nemzetpolitikáért, egyházügyekért és nemzetiségekért felelős miniszterelnök-helyettes"
->,Varga Mihály,"nemzetgazdasági miniszter->pénzügyminiszter, miniszterelnök-helyettes"
->,Rogán Antal,miniszterelnök kabinetfőnöke->a miniszterelnök kabinetfőnöke
->,Benkő Tibor->Dr. Benkő Tibor,honvédelmi miniszter
->,Kásler Miklós->Prof. Dr. Kásler Miklós,emberi erőforrások minisztere
->,Süli János,"a paksi atomerőmű két új blokkjának tervezéséért, megépítéséért és üzembe helyezéséért felelős tárca nélküli miniszter->a Paksi Atomerőmű bővítéséért felelős tárca nélküli miniszter"
->,Szijjártó Péter,Magyarország külügyminisztere->külgazdasági és külügyminiszter
---,Bártfai-Mager Andrea,nemzeti vagyon kezeléséért felelős tárca nélküli miniszter
---,Seszták Miklós,nemzeti fejlesztési miniszter
---,Semjén Zsolt,miniszterelnök-helyettes
---,Varga Judit,igazságügyminiszter
---,Fazekas Sándor,földművelésügyi miniszter
---,Pintér Sándor,belügyminiszter
---,Orbán Viktor,Magyarország miniszterelnöke
+++,dr. Orbán Viktor,miniszterelnök
+++,Dr. Palkovics László,innovációs és technológiai miniszter
+++,dr. Varga Judit,igazságügyi miniszter
+++,Novák Katalin,családokért felelős tárca nélküli miniszter
+++,dr. Pintér Sándor,"belügyminiszter, miniszterelnök-helyettes"
+++,Dr. Nagy István,agrárminiszter
+++,Mager Andrea,a nemzeti vagyon kezeléséért felelős tárca nélküli miniszter
+++,dr. Gulyás Gergely,Miniszterelnökséget vezető miniszter
