item,itemLabel,startDate,endDate,sourceDate,psid
Q102200,Göncz Árpád,1990-05-02,1990-08-02,,Q102200-4EDA2566-61EA-4D61-8063-AAF2B86635BB
Q1293123,Szabad György,1990-08-03,1994-06-27,2022-05-04,Q1293123-DACFB570-2502-41AC-ADAB-C64236FC2F03
Q1031025,Gál Zoltán,1994-06-28,1998-06-17,2022-05-04,Q1031025-31B7A12A-DB8D-42E3-BB21-D2211DADD7D5
Q469578,Szili Katalin,1998,2002,,Q469578-0F186F39-4AF3-441E-806B-EA4D273A4720
Q57467,Áder János,1998-06-18,2002-05-15,,Q57467-8561b051-46ae-176a-62f7-071e1ff65832
Q1105579,Katona Béla,2009-09-15,2010-05-14,,Q1105579-5D21BCD3-BDCB-44B0-8F4E-5E801B3714BB
Q184810,Schmitt Pál,2010-05-14,2010-08-05,,Q184810-255b8a81-488f-bfa0-48c6-d38cde749951
Q465476,Kövér László,2010-08-06,,,Q465476-094FCFDD-AD53-4097-AF1B-60C6E0906A77
