ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
,Q791379,cabinet of Lajos Batthyány,1848-03-17,11,,,1848-10-02,11,,,,,,,,,Q1226116,Committee for National Defense
,Q1226116,Committee for National Defense,1848-10-02,11,,,1849-05-01,11,,,,,,,Q791379,cabinet of Lajos Batthyány,Q922871,Q922871
,Q922871,Q922871,1849-05-02,11,,,1849-08-11,11,,,,,,,Q1226116,Committee for National Defense,Q768798,Q768798
,Q768798,Q768798,1867-02-10,11,,,1871-11-14,11,,,,,,,Q922871,Q922871,Q1160589,Q1160589
,Q1160589,Q1160589,1871-11-14,11,,,1872-12-05,11,,,,,,,Q768798,Q768798,Q1299403,Q1299403
,Q1299403,Q1299403,1872-12-05,11,,,1874-03-21,11,,,,,,,Q1160589,Q1160589,Q804114,Q804114
,Q804114,Q804114,1874-03-21,11,,,1875-03-02,11,,,,,,,Q1299403,Q1299403,Q1464313,Q1464313
,Q1464313,Q1464313,1875-03-02,11,,,1875-10-20,11,,,,,,,Q804114,Q804114,Q1321492,Q1321492
,Q1321492,Q1321492,1875-10-20,11,,,1890-03-13,11,,,,,,,Q1464313,Q1464313,Q1294805,Q1294805
,Q1294805,Q1294805,1890-03-13,11,,,1892-11-17,11,,,,,,,Q1321492,Q1321492,Q929854,Q929854
,Q929854,Q929854,1892-11-19,11,,,1895-01-15,11,,,,,,,Q1294805,Q1294805,Q852964,Q852964
,Q852964,Q852964,1895-01-15,11,,,1899-02-26,11,,,,,,,Q929854,Q929854,Q1302725,Q1302725
,Q1302725,Q1302725,1899-02-26,11,,,1903-06-03,11,,,,,,,Q852964,Q852964,Q989052,Q989052
,Q989052,Q989052,1903-06-27,11,,,1903-11-03,11,,,,,,,Q1302725,Q1302725,Q989065,Q989065
,Q989065,Q989065,1903-11-03,11,,,1905-06-18,11,,,,,,,Q989052,Q989052,Q997931,Q997931
