@@,name,position
->,Varga Mihály,"pénzügyminiszter, miniszterelnök-helyettes->pénzügyminiszter"
->,dr. Orbán Viktor->Orbán Viktor,miniszterelnök
->,Csák János,kulturális és innovációs miniszter->kultúráért és innovációért felelős miniszter
->,dr. Varga Judit->Varga Judit,igazságügyi miniszter
->,Dr. Benkő Tibor->Szalay-Bobrovniczky Kristóf,honvédelmi miniszter
->,Dr. Nagy István->Nagy István,agrárminiszter
->,dr. Gulyás Gergely->Gulyás Gergely,Miniszterelnökséget vezető miniszter
---,Dr. Semjén Zsolt,"nemzetpolitikáért, egyházügyekért és nemzetiségekért felelős miniszterelnök-helyettes"
---,Dr. Palkovics László,innovációs és technológiai miniszter
---,dr. Pintér Sándor,"belügyminiszter, miniszterelnök-helyettes"
---,Mager Andrea,a nemzeti vagyon kezeléséért felelős tárca nélküli miniszter
---,Süli János,a Paksi Atomerőmű bővítéséért felelős tárca nélküli miniszter
+++,Lázár János,építési és beruházási miniszter
+++,Navracsics Tibor,területfejlesztési miniszter
+++,Palkovics László,technológiai és ipari miniszter
+++,Semjén Zsolt,"nemzetpolitikáért, nemzetiségpolitikáért, egyházpolitikáért és egyházdiplomáciáért felelős miniszter, miniszterelnök-helyettes"
+++,Nagy Márton,gazdaságfejlesztési miniszter
+++,Pintér Sándor,belügyminiszter
