name,position
Orbán Viktor,miniszterelnök
Semjén Zsolt,"nemzetpolitikáért, nemzetiségpolitikáért, egyházpolitikáért és egyházdiplomáciáért felelős miniszter, miniszterelnök-helyettes"
Csák János,kultúráért és innovációért felelős miniszter
Gulyás Gergely,Miniszterelnökséget vezető miniszter
Lázár János,építési és beruházási miniszter
Nagy István,agrárminiszter
Nagy Márton,gazdaságfejlesztési miniszter
Navracsics Tibor,területfejlesztési miniszter
Palkovics László,technológiai és ipari miniszter
Pintér Sándor,belügyminiszter
Rogán Antal,a miniszterelnök kabinetfőnöke
Szalay-Bobrovniczky Kristóf,honvédelmi miniszter
Szijjártó Péter,külgazdasági és külügyminiszter
Varga Judit,igazságügyi miniszter
Varga Mihály,pénzügyminiszter
